WKT,csquare_area,surface_sar,subsurface_sar,ecoregion,stat_rec,c_square,lat,lon
"POLYGON ((-40.3 62.15,-40.3 62.2,-40.25 62.2,-40.25 62.15,-40.3 62.15))",14.4281152242855,45.847986229083,3.57614292586848,Greenland Sea,53A3,7604:120:112:4,62.175,-40.275
"POLYGON ((-40.3 62.3,-40.3 62.35,-40.25 62.35,-40.25 62.3,-40.3 62.3))",14.356499236818,5.78996906062063,0.451617586728409,Greenland Sea,53A3,7604:120:132:2,62.325,-40.275
"POLYGON ((-29.8 65.7,-29.8 65.75,-29.75 65.75,-29.75 65.7,-29.8 65.7))",12.7077697745986,158.673667665746,12.3765460779282,Greenland Sea,60C0,7602:459:477:2,65.725,-29.775
"POLYGON ((-38.25 63.4,-38.25 63.45,-38.2 63.45,-38.2 63.4,-38.25 63.4))",13.8283404917986,68.5195662771088,5.34452616961448,Greenland Sea,55B1,7603:238:142:1,63.425,-38.225
"POLYGON ((-39.15 63.35,-39.15 63.4,-39.1 63.4,-39.1 63.35,-39.15 63.35))",13.8524597571097,30.0501025160065,2.34390799624851,Greenland Sea,55B0,7603:239:131:3,63.375,-39.125
"POLYGON ((-30.1 65.65,-30.1 65.7,-30.05 65.7,-30.05 65.65,-30.1 65.65))",12.7323543222402,21.6954186630405,1.69224265571716,Greenland Sea,60B9,7603:350:360:4,65.675,-30.075
"POLYGON ((-30.2 65.6,-30.2 65.65,-30.15 65.65,-30.15 65.6,-30.2 65.6))",12.7569291736401,38.8500616532818,3.03030480895598,Greenland Sea,60B9,7603:350:361:2,65.625,-30.175
"POLYGON ((-30.15 65.65,-30.15 65.7,-30.1 65.7,-30.1 65.65,-30.15 65.65))",12.7323543222402,16.53676650446,1.28986778734788,Greenland Sea,60B9,7603:350:361:3,65.675,-30.125
"POLYGON ((-37.8 63.45,-37.8 63.5,-37.75 63.5,-37.75 63.45,-37.8 63.45))",13.8042106956048,13.209924932402,1.03037414472736,Greenland Sea,55B2,7603:237:247:4,63.475,-37.775
"POLYGON ((-40.15 62.05,-40.15 62.1,-40.1 62.1,-40.1 62.05,-40.15 62.05))",14.4758043080429,90.4484118811259,7.05497612672782,Greenland Sea,53A3,7604:120:101:3,62.075,-40.125
"POLYGON ((-40.3 62.1,-40.3 62.15,-40.25 62.15,-40.25 62.1,-40.3 62.1))",14.4519652690644,53.7691142356676,4.19399091038207,Greenland Sea,53A3,7604:120:112:2,62.125,-40.275
"POLYGON ((-40.8 62.1,-40.8 62.15,-40.75 62.15,-40.75 62.1,-40.8 62.1))",14.4519652690644,11.6831852870161,0.911288452387254,Greenland Sea,53A3,7604:120:217:2,62.125,-40.775
"POLYGON ((-40.65 62.4,-40.65 62.45,-40.6 62.45,-40.6 62.4,-40.65 62.4))",14.3087005493802,10.8137897087635,0.843475597283554,Greenland Sea,53A3,7604:120:246:1,62.425,-40.625
"POLYGON ((-36.3 63.95,-36.3 64.0,-36.25 64.0,-36.25 63.95,-36.3 63.95))",13.5623375817577,6.12900880094648,0.478062686473825,Greenland Sea,56B3,7603:236:392:4,63.975,-36.275
"POLYGON ((-36.4 63.85,-36.4 63.9,-36.35 63.9,-36.35 63.85,-36.4 63.85))",13.6107954210562,2.67189474788079,0.208407790334701,Greenland Sea,56B3,7603:236:383:4,63.875,-36.375
