WKT,fishing_category_FO,mw_fishinghours,ecoregion,stat_rec,c_square,lat,lon
"POLYGON ((-28.45 66.4,-28.45 66.45,-28.4 66.45,-28.4 66.4,-28.45 66.4))",Otter,0.608375,Greenland Sea,61C1,7602:468:144:1,66.425,-28.425
"POLYGON ((-30.4 66.15,-30.4 66.2,-30.35 66.2,-30.35 66.15,-30.4 66.15))",Otter,0.456,Greenland Sea,61B9,7603:360:113:4,66.175,-30.375
"POLYGON ((-35.05 64.55,-35.05 64.6,-35 64.6,-35 64.55,-35.05 64.55))",Otter,1,Greenland Sea,58B4,7603:245:350:3,64.575,-35.025
"POLYGON ((-35.5 64.5,-35.5 64.55,-35.45 64.55,-35.45 64.5,-35.5 64.5))",Otter,1,Greenland Sea,58B4,7603:245:354:2,64.525,-35.475
"POLYGON ((-37.55 63.65,-37.55 63.7,-37.5 63.7,-37.5 63.65,-37.55 63.65))",Otter,1,Greenland Sea,56B2,7603:237:465:3,63.675,-37.525
"POLYGON ((-35.55 64.8,-35.55 64.85,-35.5 64.85,-35.5 64.8,-35.55 64.8))",Otter,1,Greenland Sea,58B4,7603:245:485:1,64.825,-35.525
"POLYGON ((-39.8 62.3,-39.8 62.35,-39.75 62.35,-39.75 62.3,-39.8 62.3))",Otter,0.775,Greenland Sea,53B0,7603:229:237:2,62.325,-39.775
"POLYGON ((-37.1 64.45,-37.1 64.5,-37.05 64.5,-37.05 64.45,-37.1 64.45))",Otter,0.9,Greenland Sea,57B2,7603:247:140:4,64.475,-37.075
"POLYGON ((-39.95 63.15,-39.95 63.2,-39.9 63.2,-39.9 63.15,-39.95 63.15))",Otter,0.9,Greenland Sea,55B0,7603:239:219:3,63.175,-39.925
"POLYGON ((-22.35 69.05,-22.35 69.1,-22.3 69.1,-22.3 69.05,-22.35 69.05))",Otter,2.2,Greenland Sea,67C7,7602:392:103:3,69.075,-22.325
"POLYGON ((-29.85 65.7,-29.85 65.75,-29.8 65.75,-29.8 65.7,-29.85 65.7))",Otter,50.19106,Greenland Sea,60C0,7602:459:478:1,65.725,-29.825
"POLYGON ((-39.7 63.3,-39.7 63.35,-39.65 63.35,-39.65 63.3,-39.7 63.3))",Otter,1.83,Greenland Sea,55B0,7603:239:236:2,63.325,-39.675
"POLYGON ((-38.2 63.3,-38.2 63.35,-38.15 63.35,-38.15 63.3,-38.2 63.3))",Otter,2,Greenland Sea,55B1,7603:238:131:2,63.325,-38.175
"POLYGON ((-35.35 64.7,-35.35 64.75,-35.3 64.75,-35.3 64.7,-35.35 64.7))",Otter,0.8825,Greenland Sea,58B4,7603:245:373:1,64.725,-35.325
"POLYGON ((-40.45 62.0,-40.45 62.05,-40.4 62.05,-40.4 62.0,-40.45 62.0))",Otter,2.7,Greenland Sea,53A3,7604:120:104:1,62.025,-40.425
"POLYGON ((-30.6 66.15,-30.6 66.2,-30.55 66.2,-30.55 66.15,-30.6 66.15))",Otter,4.7079083325,Greenland Sea,61B9,7603:360:215:4,66.175,-30.575
"POLYGON ((-36.25 64.3,-36.25 64.35,-36.2 64.35,-36.2 64.3,-36.25 64.3))",Otter,0.9,Greenland Sea,57B3,7603:246:132:1,64.325,-36.225
"POLYGON ((-40.55 62.35,-40.55 62.4,-40.5 62.4,-40.5 62.35,-40.55 62.35))",Otter,13.8483333333333,Greenland Sea,53A3,7604:120:235:3,62.375,-40.525
"POLYGON ((-39.45 63.7,-39.45 63.75,-39.4 63.75,-39.4 63.7,-39.45 63.7))",Otter,1.8,Greenland Sea,56B0,7603:239:374:1,63.725,-39.425
"POLYGON ((-25.8 67.7,-25.8 67.75,-25.75 67.75,-25.75 67.7,-25.8 67.7))",Otter,2.73,Greenland Sea,64C4,7602:475:477:2,67.725,-25.775
"POLYGON ((-22.8 69.15,-22.8 69.2,-22.75 69.2,-22.75 69.15,-22.8 69.15))",Otter,0.9,Greenland Sea,67C7,7602:392:217:4,69.175,-22.775
"POLYGON ((-26.6 67.35,-26.6 67.4,-26.55 67.4,-26.55 67.35,-26.6 67.35))",Otter,1.3,Greenland Sea,63C3,7602:476:235:4,67.375,-26.575
"POLYGON ((-30.75 65.45,-30.75 65.5,-30.7 65.5,-30.7 65.45,-30.75 65.45))",Otter,10.9174,Greenland Sea,59B9,7603:350:247:3,65.475,-30.725
"POLYGON ((-40.4 61.85,-40.4 61.9,-40.35 61.9,-40.35 61.85,-40.4 61.85))",Otter,0.9,Greenland Sea,52A3,7604:110:383:4,61.875,-40.375
"POLYGON ((-37.9 63.35,-37.9 63.4,-37.85 63.4,-37.85 63.35,-37.9 63.35))",Otter,1,Greenland Sea,55B2,7603:237:238:4,63.375,-37.875
"POLYGON ((-28.35 66.45,-28.35 66.5,-28.3 66.5,-28.3 66.45,-28.35 66.45))",Otter,0.58875,Greenland Sea,61C1,7602:468:143:3,66.475,-28.325
"POLYGON ((-30.85 65.6,-30.85 65.65,-30.8 65.65,-30.8 65.6,-30.85 65.6))",Otter,5.15918,Greenland Sea,60B9,7603:350:468:1,65.625,-30.825
"POLYGON ((-35.75 64.45,-35.75 64.5,-35.7 64.5,-35.7 64.45,-35.75 64.45))",Otter,1.185,Greenland Sea,57B4,7603:245:247:3,64.475,-35.725
"POLYGON ((-35.3 62.75,-35.3 62.8,-35.25 62.8,-35.25 62.75,-35.3 62.75))",Otter,1.03333333333333,Greenland Sea,54B4,7603:225:372:4,62.775,-35.275
"POLYGON ((-28.85 66.3,-28.85 66.35,-28.8 66.35,-28.8 66.3,-28.85 66.3))",Otter,0.58875,Greenland Sea,61C1,7602:468:238:1,66.325,-28.825
"POLYGON ((-39.85 62.05,-39.85 62.1,-39.8 62.1,-39.8 62.05,-39.85 62.05))",Otter,0.75,Greenland Sea,53B0,7603:229:208:3,62.075,-39.825
"POLYGON ((-29.7 65.7,-29.7 65.75,-29.65 65.75,-29.65 65.7,-29.7 65.7))",Otter,12.63532,Greenland Sea,60C0,7602:459:476:2,65.725,-29.675
"POLYGON ((-26.1 67.5,-26.1 67.55,-26.05 67.55,-26.05 67.5,-26.1 67.5))",Otter,1.8,Greenland Sea,64C3,7602:476:350:2,67.525,-26.075
"POLYGON ((-40.6 62.1,-40.6 62.15,-40.55 62.15,-40.55 62.1,-40.6 62.1))",Otter,814.066,Greenland Sea,53A3,7604:120:215:2,62.125,-40.575
